log_id,driver_id,date,timestamp,cumulative_earnings,elapsed_hours,current_velocity,target_velocity,velocity_delta,trips_completed,forecast_status
VEL001,DRV001,2024-02-06,06:14:00,351,0.5,702.0,199,503.0,1,ahead
VEL002,DRV001,2024-02-06,13:15:00,732,6.65,110.08,172,-61.92,2,at_risk
VEL003,DRV001,2024-02-06,15:15:00,1123,8.65,129.83,175,-45.17,3,at_risk
VEL004,DRV002,2024-02-06,07:06:00,447,0.5,894.0,183,711.0,1,ahead
VEL005,DRV003,2024-02-06,07:11:00,181,0.5,362.0,200,162.0,1,ahead
VEL006,DRV003,2024-02-06,08:15:00,356,0.53,667.5,192,475.5,2,ahead
VEL007,DRV003,2024-02-06,12:00:00,692,4.28,161.56,198,-36.44,3,on_track
VEL008,DRV004,2024-02-06,07:26:00,377,0.5,754.0,199,555.0,1,ahead
VEL009,DRV004,2024-02-06,09:59:00,740,2.87,258.14,186,72.14,2,ahead
VEL010,DRV007,2024-02-06,10:11:00,179,0.5,358.0,200,158.0,1,ahead
VEL011,DRV007,2024-02-06,10:38:00,533,0.5,1066.0,200,866.0,2,ahead
VEL012,DRV007,2024-02-06,13:19:00,937,2.65,353.58,187,166.58,3,ahead
VEL013,DRV011,2024-02-06,09:32:00,214,0.5,428.0,200,228.0,1,ahead
VEL014,DRV011,2024-02-06,17:48:00,405,8.65,46.82,172,-125.18,2,at_risk
VEL015,DRV012,2024-02-06,06:31:00,445,0.5,890.0,183,707.0,1,ahead
VEL016,DRV013,2024-02-06,10:13:00,217,0.5,434.0,198,236.0,1,ahead
VEL017,DRV016,2024-02-06,06:31:00,235,0.52,454.84,177,277.84,1,ahead
VEL018,DRV016,2024-02-06,11:19:00,451,5.32,84.83,174,-89.17,2,at_risk
VEL019,DRV016,2024-02-06,11:45:00,451,5.75,78.43,174,-95.57,2,ahead
VEL020,DRV016,2024-02-06,14:05:00,737,8.08,91.18,178,-86.82,3,at_risk
VEL021,DRV017,2024-02-06,14:39:00,143,0.52,276.77,191,85.77,1,ahead
VEL022,DRV018,2024-02-06,15:37:00,426,0.57,751.76,172,579.76,1,ahead
VEL023,DRV020,2024-02-06,06:43:00,178,0.52,344.52,191,153.52,1,ahead
VEL024,DRV021,2024-02-06,11:37:00,263,0.5,526.0,172,354.0,1,ahead
VEL025,DRV021,2024-02-06,14:30:00,450,2.52,178.81,186,-7.19,2,on_track
VEL026,DRV024,2024-02-06,08:31:00,285,0.5,570.0,181,389.0,1,ahead
VEL028,DRV024,2024-02-06,09:24:00,523,1.37,382.68,199,183.68,2,on_track
VEL027,DRV024,2024-02-06,10:39:00,523,2.62,199.87,199,0.87,2,on_track
VEL029,DRV025,2024-02-06,09:54:00,364,0.5,728.0,191,537.0,1,ahead
VEL030,DRV026,2024-02-06,14:54:00,432,0.5,864.0,174,690.0,1,ahead
VEL031,DRV028,2024-02-06,17:23:00,260,0.5,520.0,181,339.0,1,ahead
VEL032,DRV031,2024-02-06,07:59:00,154,0.5,308.0,191,117.0,1,ahead
VEL033,DRV031,2024-02-06,08:15:00,449,0.73,612.27,190,422.27,2,ahead
VEL034,DRV031,2024-02-06,14:27:00,832,6.93,120.0,171,-51.0,3,at_risk
VEL035,DRV032,2024-02-06,06:52:00,168,0.5,336.0,188,148.0,1,ahead
VEL036,DRV032,2024-02-06,15:10:00,466,8.67,53.77,179,-125.23,2,at_risk
VEL037,DRV033,2024-02-06,07:22:00,203,0.5,406.0,177,229.0,1,ahead
VEL038,DRV034,2024-02-06,08:39:00,284,0.62,460.54,198,262.54,1,ahead
VEL039,DRV035,2024-02-06,13:46:00,429,0.55,780.0,176,604.0,1,ahead
VEL040,DRV038,2024-02-06,14:08:00,184,0.5,368.0,184,184.0,1,ahead
VEL042,DRV038,2024-02-06,14:24:00,486,-0.33,972.0,189,783.0,2,ahead
VEL041,DRV038,2024-02-06,15:27:00,486,0.72,678.14,189,489.14,2,ahead
VEL043,DRV039,2024-02-06,08:30:00,277,0.5,554.0,180,374.0,1,ahead
VEL045,DRV039,2024-02-06,09:11:00,513,1.15,446.09,178,268.09,2,ahead
VEL044,DRV039,2024-02-06,10:13:00,513,2.18,234.96,178,56.96,2,ahead
VEL047,DRV039,2024-02-06,10:22:00,938,2.33,402.0,178,224.0,3,on_track
VEL046,DRV039,2024-02-06,13:03:00,938,5.02,186.98,178,8.98,3,on_track
VEL048,DRV041,2024-02-06,06:40:00,361,0.5,722.0,182,540.0,1,ahead
VEL049,DRV042,2024-02-06,06:18:00,442,0.5,884.0,189,695.0,1,ahead
VEL050,DRV042,2024-02-06,09:18:00,737,2.5,294.8,185,109.8,2,ahead
VEL051,DRV042,2024-02-06,09:30:00,1100,2.7,407.41,198,209.41,3,ahead
VEL052,DRV042,2024-02-06,17:17:00,1523,10.48,145.28,197,-51.72,4,at_risk
VEL053,DRV043,2024-02-06,10:53:00,267,0.62,432.97,194,238.97,1,ahead
VEL055,DRV043,2024-02-06,11:34:00,492,1.3,378.46,199,179.46,2,ahead
VEL054,DRV043,2024-02-06,13:44:00,492,3.47,141.92,199,-57.08,2,at_risk
VEL056,DRV043,2024-02-06,14:20:00,847,4.07,208.28,188,20.28,3,on_track
VEL057,DRV045,2024-02-06,19:38:00,335,0.55,609.09,194,415.09,1,ahead
VEL058,DRV046,2024-02-06,12:36:00,182,0.5,364.0,185,179.0,1,ahead
VEL059,DRV046,2024-02-06,13:49:00,548,1.52,361.32,187,174.32,2,ahead
VEL060,DRV046,2024-02-06,15:09:00,752,2.85,263.86,178,85.86,3,ahead
VEL063,DRV046,2024-02-06,15:33:00,1174,3.25,361.23,183,178.23,4,ahead
VEL061,DRV046,2024-02-06,15:37:00,752,3.32,226.73,178,48.73,3,at_risk
VEL062,DRV046,2024-02-06,16:10:00,1174,3.87,303.62,183,120.62,4,ahead
VEL065,DRV046,2024-02-06,16:55:00,1440,4.62,311.91,197,114.91,5,at_risk
VEL064,DRV046,2024-02-06,17:00:00,1440,4.7,306.38,197,109.38,5,ahead
VEL066,DRV047,2024-02-06,07:01:00,404,0.5,808.0,178,630.0,1,ahead
VEL068,DRV047,2024-02-06,07:06:00,670,-0.62,1340.0,177,1163.0,2,on_track
VEL067,DRV047,2024-02-06,08:49:00,670,1.1,609.09,177,432.09,2,ahead
VEL069,DRV048,2024-02-06,06:32:00,198,0.5,396.0,177,219.0,1,ahead
VEL070,DRV048,2024-02-06,09:16:00,415,3.07,135.33,172,-36.67,2,on_track
VEL071,DRV048,2024-02-06,09:19:00,415,3.12,133.16,172,-38.84,2,on_track
VEL072,DRV048,2024-02-06,15:53:00,641,9.68,66.2,192,-125.8,3,at_risk
VEL073,DRV048,2024-02-06,16:01:00,865,9.82,88.12,172,-83.88,4,at_risk
VEL074,DRV048,2024-02-06,16:24:00,865,10.2,84.8,172,-87.2,4,at_risk
VEL075,DRV049,2024-02-06,07:46:00,292,0.5,584.0,199,385.0,1,ahead
VEL076,DRV050,2024-02-06,07:55:00,156,0.5,312.0,186,126.0,1,ahead
VEL077,DRV050,2024-02-06,17:58:00,468,10.45,44.78,171,-126.22,2,at_risk
VEL078,DRV052,2024-02-06,11:35:00,296,0.5,592.0,177,415.0,1,ahead
VEL079,DRV052,2024-02-06,15:33:00,649,3.57,181.96,189,-7.04,2,on_track
VEL080,DRV053,2024-02-06,16:02:00,361,0.5,722.0,178,544.0,1,ahead
VEL081,DRV053,2024-02-06,16:34:00,751,0.5,1502.0,183,1319.0,2,ahead
VEL082,DRV056,2024-02-06,09:12:00,182,0.5,364.0,190,174.0,1,ahead
VEL084,DRV056,2024-02-06,09:51:00,602,0.1,1204.0,194,1010.0,2,on_track
VEL083,DRV056,2024-02-06,11:30:00,602,1.75,344.0,194,150.0,2,ahead
VEL085,DRV059,2024-02-06,14:17:00,450,0.5,900.0,173,727.0,1,ahead
VEL086,DRV060,2024-02-06,06:58:00,355,0.57,626.47,191,435.47,1,ahead
VEL088,DRV060,2024-02-06,07:27:00,691,1.05,658.1,194,464.1,2,at_risk
VEL087,DRV060,2024-02-06,11:00:00,691,4.6,150.22,194,-43.78,2,at_risk
VEL089,DRV060,2024-02-06,15:05:00,1061,8.68,122.19,189,-66.81,3,at_risk
VEL090,DRV060,2024-02-06,15:52:00,1492,9.47,157.61,188,-30.39,4,on_track
VEL091,DRV063,2024-02-06,08:18:00,224,0.5,448.0,172,276.0,1,ahead
VEL092,DRV064,2024-02-06,08:33:00,203,0.5,406.0,190,216.0,1,ahead
VEL093,DRV066,2024-02-06,16:11:00,185,0.5,370.0,181,189.0,1,ahead
VEL094,DRV067,2024-02-06,14:28:00,228,0.5,456.0,200,256.0,1,ahead
VEL095,DRV067,2024-02-06,15:11:00,576,1.18,486.76,192,294.76,2,ahead
VEL096,DRV068,2024-02-06,10:01:00,192,0.5,384.0,178,206.0,1,ahead
VEL097,DRV070,2024-02-06,18:42:00,268,0.5,536.0,200,336.0,1,ahead
VEL098,DRV074,2024-02-06,07:28:00,171,0.5,342.0,198,144.0,1,ahead
VEL100,DRV074,2024-02-06,12:13:00,357,4.3,83.02,174,-90.98,2,at_risk
VEL099,DRV074,2024-02-06,13:56:00,357,6.02,59.34,174,-114.66,2,at_risk
VEL101,DRV075,2024-02-06,06:11:00,432,0.5,864.0,198,666.0,1,ahead
VEL102,DRV077,2024-02-06,10:28:00,182,0.5,364.0,179,185.0,1,ahead
VEL103,DRV078,2024-02-06,11:55:00,380,0.53,712.5,173,539.5,1,ahead
VEL104,DRV083,2024-02-06,08:55:00,284,0.5,568.0,187,381.0,1,ahead
VEL105,DRV083,2024-02-06,09:09:00,458,0.72,639.07,192,447.07,2,ahead
VEL106,DRV084,2024-02-06,10:50:00,293,0.5,586.0,172,414.0,1,ahead
VEL107,DRV084,2024-02-06,13:10:00,650,2.7,240.74,188,52.74,2,ahead
VEL108,DRV085,2024-02-06,12:44:00,215,0.5,430.0,172,258.0,1,ahead
VEL110,DRV085,2024-02-06,15:01:00,372,2.72,136.93,197,-60.07,2,on_track
VEL109,DRV085,2024-02-06,15:41:00,372,3.38,109.95,197,-87.05,2,at_risk
VEL111,DRV085,2024-02-06,16:02:00,721,3.73,193.12,181,12.12,3,on_track
VEL112,DRV086,2024-02-06,14:52:00,381,0.53,714.38,177,537.38,1,ahead
VEL113,DRV087,2024-02-06,12:20:00,372,0.5,744.0,192,552.0,1,ahead
VEL114,DRV088,2024-02-06,08:51:00,187,0.5,374.0,189,185.0,1,ahead
VEL115,DRV088,2024-02-06,17:28:00,500,9.03,55.35,182,-126.65,2,at_risk
VEL116,DRV090,2024-02-06,15:10:00,398,0.5,796.0,189,607.0,1,ahead
VEL117,DRV091,2024-02-06,17:11:00,196,0.5,392.0,170,222.0,1,ahead
VEL118,DRV094,2024-02-06,07:53:00,198,0.57,349.41,170,179.41,1,ahead
VEL120,DRV094,2024-02-06,14:06:00,568,6.78,83.73,180,-96.27,2,at_risk
VEL119,DRV094,2024-02-06,16:46:00,568,9.45,60.11,180,-119.89,2,at_risk
VEL121,DRV095,2024-02-06,10:40:00,164,0.6,273.33,191,82.33,1,ahead
VEL122,DRV095,2024-02-06,11:15:00,409,1.18,345.63,180,165.63,2,ahead
VEL123,DRV096,2024-02-06,10:22:00,468,0.62,758.92,192,566.92,1,ahead
VEL124,DRV096,2024-02-06,11:46:00,768,2.02,380.83,184,196.83,2,ahead
VEL125,DRV097,2024-02-06,10:05:00,167,0.5,334.0,186,148.0,1,ahead
VEL126,DRV099,2024-02-06,07:38:00,395,0.5,790.0,186,604.0,1,ahead
VEL127,DRV100,2024-02-06,15:38:00,279,0.5,558.0,186,372.0,1,ahead
VEL128,DRV102,2024-02-06,14:02:00,294,0.5,588.0,178,410.0,1,ahead
VEL129,DRV104,2024-02-06,13:39:00,210,0.63,331.58,190,141.58,1,ahead
VEL130,DRV106,2024-02-06,09:39:00,260,0.5,520.0,174,346.0,1,ahead
VEL132,DRV106,2024-02-06,11:03:00,428,1.7,251.76,195,56.76,2,on_track
VEL131,DRV106,2024-02-06,11:52:00,428,2.52,170.07,195,-24.93,2,on_track
VEL133,DRV107,2024-02-06,06:10:00,325,0.5,650.0,177,473.0,1,ahead
VEL135,DRV107,2024-02-06,06:30:00,470,-0.1,940.0,198,742.0,2,on_track
VEL134,DRV107,2024-02-06,07:03:00,470,0.5,940.0,198,742.0,2,ahead
VEL136,DRV107,2024-02-06,12:10:00,708,5.57,127.19,193,-65.81,3,at_risk
VEL137,DRV107,2024-02-06,12:38:00,708,6.03,117.35,193,-75.65,3,at_risk
VEL138,DRV107,2024-02-06,16:23:00,1008,9.78,103.03,181,-77.97,4,at_risk
VEL139,DRV107,2024-02-06,17:56:00,1358,11.33,119.82,196,-76.18,5,at_risk
VEL140,DRV108,2024-02-06,13:25:00,321,0.5,642.0,199,443.0,1,ahead
VEL141,DRV110,2024-02-06,17:27:00,305,0.5,610.0,192,418.0,1,ahead
VEL142,DRV111,2024-02-06,07:38:00,235,0.5,470.0,174,296.0,1,ahead
VEL143,DRV112,2024-02-06,06:21:00,244,0.5,488.0,170,318.0,1,ahead
VEL144,DRV112,2024-02-06,08:32:00,629,1.73,362.88,176,186.88,2,ahead
VEL145,DRV114,2024-02-06,13:33:00,427,0.53,800.62,174,626.62,1,ahead
VEL146,DRV118,2024-02-06,11:14:00,416,0.5,832.0,187,645.0,1,ahead
VEL147,DRV118,2024-02-06,17:00:00,626,5.22,120.0,179,-59.0,2,at_risk
VEL149,DRV118,2024-02-06,17:07:00,839,5.33,157.31,186,-28.69,3,at_risk
VEL148,DRV118,2024-02-06,17:48:00,839,6.02,139.45,186,-46.55,3,at_risk
VEL150,DRV124,2024-02-06,16:15:00,328,0.5,656.0,173,483.0,1,ahead
VEL151,DRV126,2024-02-06,09:48:00,180,0.5,360.0,197,163.0,1,ahead
VEL152,DRV127,2024-02-06,12:41:00,294,0.58,504.0,175,329.0,1,ahead
VEL153,DRV127,2024-02-06,17:31:00,515,5.42,95.08,182,-86.92,2,at_risk
VEL154,DRV128,2024-02-06,08:16:00,209,0.5,418.0,183,235.0,1,ahead
VEL155,DRV130,2024-02-06,11:08:00,200,0.5,400.0,181,219.0,1,ahead
VEL156,DRV130,2024-02-06,13:00:00,506,1.22,415.89,179,236.89,2,ahead
VEL157,DRV131,2024-02-06,09:42:00,149,0.55,270.91,196,74.91,1,ahead
VEL159,DRV131,2024-02-06,10:22:00,528,1.22,433.97,176,257.97,2,at_risk
VEL158,DRV131,2024-02-06,14:32:00,528,5.38,98.08,176,-77.92,2,at_risk
VEL160,DRV132,2024-02-06,10:06:00,444,0.5,888.0,177,711.0,1,ahead
VEL161,DRV132,2024-02-06,13:43:00,667,3.25,205.23,180,25.23,2,on_track
VEL162,DRV133,2024-02-06,07:21:00,393,0.5,786.0,196,590.0,1,ahead
VEL163,DRV133,2024-02-06,07:26:00,665,0.5,1330.0,181,1149.0,2,ahead
VEL164,DRV133,2024-02-06,09:51:00,1105,1.93,571.55,176,395.55,3,ahead
VEL165,DRV134,2024-02-06,11:57:00,313,0.57,552.35,196,356.35,1,ahead
VEL166,DRV135,2024-02-06,12:03:00,261,0.5,522.0,200,322.0,1,ahead
VEL167,DRV136,2024-02-06,09:28:00,327,0.5,654.0,197,457.0,1,ahead
VEL169,DRV136,2024-02-06,09:50:00,777,0.68,1137.07,180,957.07,2,on_track
VEL168,DRV136,2024-02-06,14:50:00,777,5.68,136.72,180,-43.28,2,at_risk
VEL170,DRV138,2024-02-06,08:39:00,167,0.62,270.81,181,89.81,1,ahead
VEL172,DRV138,2024-02-06,09:05:00,484,1.05,460.95,198,262.95,2,at_risk
VEL171,DRV138,2024-02-06,09:30:00,484,1.47,330.0,198,132.0,2,ahead
VEL174,DRV138,2024-02-06,09:46:00,688,1.73,396.92,179,217.92,3,ahead
VEL173,DRV138,2024-02-06,10:15:00,688,2.22,310.38,179,131.38,3,ahead
VEL175,DRV139,2024-02-06,16:27:00,426,0.5,852.0,183,669.0,1,ahead
VEL176,DRV141,2024-02-06,14:30:00,376,0.5,752.0,177,575.0,1,ahead
VEL177,DRV142,2024-02-06,15:59:00,156,0.53,292.5,178,114.5,1,ahead
VEL178,DRV143,2024-02-06,09:15:00,184,0.5,368.0,175,193.0,1,ahead
VEL180,DRV143,2024-02-06,11:26:00,616,1.68,365.94,170,195.94,2,on_track
VEL179,DRV143,2024-02-06,13:43:00,616,3.97,155.29,170,-14.71,2,on_track
VEL181,DRV144,2024-02-06,15:25:00,318,0.55,578.18,191,387.18,1,ahead
VEL182,DRV145,2024-02-06,19:35:00,345,0.5,690.0,177,513.0,1,ahead
VEL183,DRV146,2024-02-06,17:16:00,366,0.5,732.0,173,559.0,1,ahead
VEL184,DRV147,2024-02-06,10:19:00,154,0.5,308.0,172,136.0,1,ahead
VEL185,DRV147,2024-02-06,17:31:00,308,6.65,46.32,190,-143.68,2,at_risk
VEL186,DRV148,2024-02-06,07:26:00,331,0.5,662.0,187,475.0,1,ahead
VEL187,DRV149,2024-02-06,11:46:00,161,0.58,276.0,173,103.0,1,ahead
VEL188,DRV150,2024-02-06,12:57:00,173,0.5,346.0,183,163.0,1,ahead
VEL189,DRV151,2024-02-06,17:02:00,409,0.5,818.0,174,644.0,1,ahead
VEL190,DRV153,2024-02-06,13:19:00,270,0.5,540.0,179,361.0,1,ahead
VEL191,DRV156,2024-02-06,07:44:00,314,0.5,628.0,186,442.0,1,ahead
VEL192,DRV157,2024-02-06,07:28:00,245,0.5,490.0,178,312.0,1,ahead
VEL193,DRV157,2024-02-06,12:03:00,596,5.05,118.02,193,-74.98,2,at_risk
VEL194,DRV160,2024-02-06,09:12:00,218,0.5,436.0,186,250.0,1,ahead
VEL195,DRV160,2024-02-06,17:23:00,646,7.63,84.63,178,-93.37,2,at_risk
VEL196,DRV161,2024-02-06,08:36:00,409,0.5,818.0,171,647.0,1,ahead
VEL197,DRV161,2024-02-06,08:59:00,758,0.75,1010.67,179,831.67,2,ahead
VEL198,DRV161,2024-02-06,18:32:00,1056,10.3,102.52,198,-95.48,3,at_risk
VEL199,DRV165,2024-02-06,16:46:00,356,0.6,593.33,172,421.33,1,ahead
VEL200,DRV168,2024-02-06,15:15:00,408,0.5,816.0,186,630.0,1,ahead
VEL201,DRV169,2024-02-06,16:25:00,425,0.5,850.0,193,657.0,1,ahead
VEL202,DRV170,2024-02-06,06:45:00,149,0.5,298.0,188,110.0,1,ahead
VEL203,DRV170,2024-02-06,08:12:00,414,1.8,230.0,189,41.0,2,ahead
VEL204,DRV172,2024-02-06,12:49:00,151,0.5,302.0,198,104.0,1,ahead
VEL206,DRV172,2024-02-06,13:17:00,408,0.78,520.85,191,329.85,2,on_track
VEL205,DRV172,2024-02-06,14:58:00,408,2.47,165.41,191,-25.59,2,on_track
VEL207,DRV174,2024-02-06,12:48:00,262,0.5,524.0,186,338.0,1,ahead
VEL208,DRV175,2024-02-06,06:21:00,280,0.5,560.0,187,373.0,1,ahead
VEL209,DRV175,2024-02-06,06:26:00,575,0.5,1150.0,182,968.0,2,ahead
VEL210,DRV177,2024-02-06,15:52:00,362,0.62,587.03,194,393.03,1,ahead
VEL211,DRV178,2024-02-06,10:34:00,245,0.5,490.0,183,307.0,1,ahead
VEL212,DRV178,2024-02-06,11:11:00,578,0.92,630.55,184,446.55,2,ahead
VEL213,DRV178,2024-02-06,11:26:00,578,1.17,495.43,184,311.43,2,on_track
VEL214,DRV179,2024-02-06,07:54:00,375,0.5,750.0,170,580.0,1,ahead
VEL216,DRV179,2024-02-06,09:49:00,665,2.3,289.13,179,110.13,2,at_risk
VEL215,DRV179,2024-02-06,12:02:00,665,4.52,147.23,179,-31.77,2,on_track
VEL217,DRV182,2024-02-06,14:21:00,222,0.5,444.0,183,261.0,1,ahead
VEL218,DRV183,2024-02-06,09:16:00,371,0.5,742.0,191,551.0,1,ahead
VEL219,DRV183,2024-02-06,12:27:00,750,2.5,300.0,178,122.0,2,ahead
VEL220,DRV185,2024-02-06,17:33:00,313,0.5,626.0,198,428.0,1,ahead
VEL221,DRV188,2024-02-06,07:29:00,274,0.5,548.0,180,368.0,1,ahead
VEL222,DRV188,2024-02-06,07:38:00,494,0.5,988.0,170,818.0,2,ahead
VEL223,DRV189,2024-02-06,06:23:00,432,0.5,864.0,183,681.0,1,ahead
VEL225,DRV189,2024-02-06,09:12:00,760,2.4,316.67,176,140.67,2,on_track
VEL224,DRV189,2024-02-06,09:50:00,760,3.03,250.55,176,74.55,2,ahead
VEL226,DRV189,2024-02-06,10:30:00,1204,3.7,325.41,194,131.41,3,ahead
VEL227,DRV189,2024-02-06,10:34:00,1518,3.77,403.01,185,218.01,4,ahead
VEL228,DRV191,2024-02-06,06:56:00,402,0.53,753.75,181,572.75,1,ahead
VEL229,DRV191,2024-02-06,16:41:00,728,10.28,70.79,193,-122.21,2,at_risk
VEL230,DRV192,2024-02-06,12:39:00,420,0.55,763.64,177,586.64,1,ahead
VEL231,DRV193,2024-02-06,12:21:00,399,0.5,798.0,190,608.0,1,ahead
VEL233,DRV193,2024-02-06,12:28:00,664,-0.43,1328.0,179,1149.0,2,on_track
VEL232,DRV193,2024-02-06,16:53:00,664,3.98,166.69,179,-12.31,2,on_track
VEL234,DRV194,2024-02-06,12:34:00,241,0.5,482.0,187,295.0,1,ahead
VEL235,DRV195,2024-02-06,14:10:00,218,0.5,436.0,174,262.0,1,ahead
VEL236,DRV197,2024-02-06,17:40:00,180,0.5,360.0,181,179.0,1,ahead
VEL237,DRV198,2024-02-06,08:23:00,277,0.5,554.0,184,370.0,1,ahead
VEL239,DRV198,2024-02-06,09:43:00,431,0.88,487.92,186,301.92,2,at_risk
VEL238,DRV198,2024-02-06,10:27:00,431,1.62,266.6,186,80.6,2,ahead
VEL240,DRV198,2024-02-06,11:02:00,853,2.2,387.73,174,213.73,3,ahead
VEL243,DRV198,2024-02-06,11:13:00,1266,2.38,531.19,178,353.19,4,on_track
VEL241,DRV198,2024-02-06,11:29:00,853,2.65,321.89,174,147.89,3,on_track
VEL242,DRV198,2024-02-06,11:59:00,1266,3.15,401.9,178,223.9,4,ahead
VEL244,DRV199,2024-02-06,16:26:00,169,0.5,338.0,198,140.0,1,ahead
VEL245,DRV202,2024-02-06,06:04:00,202,0.5,404.0,192,212.0,1,ahead
VEL246,DRV203,2024-02-06,15:43:00,227,0.5,454.0,181,273.0,1,ahead
VEL247,DRV205,2024-02-06,08:01:00,217,0.5,434.0,183,251.0,1,ahead
VEL248,DRV205,2024-02-06,08:01:00,604,0.5,1208.0,180,1028.0,2,ahead
VEL249,DRV205,2024-02-06,13:55:00,906,5.48,165.23,177,-11.77,3,on_track
VEL250,DRV205,2024-02-06,16:46:00,1048,8.33,125.76,179,-53.24,4,at_risk
VEL251,DRV206,2024-02-06,09:42:00,258,0.5,516.0,184,332.0,1,ahead
VEL252,DRV206,2024-02-06,11:31:00,466,2.27,205.59,173,32.59,2,on_track
VEL253,DRV207,2024-02-06,16:43:00,351,0.55,638.18,197,441.18,1,ahead
VEL254,DRV210,2024-02-06,08:52:00,198,0.5,396.0,179,217.0,1,ahead
